sweep_id,row,col,vcc_set_V,vcc_wl_V,current_uA,packet,ok,run_id
r03_0p1_0p9,3,0,0.1,2.5,-55.216857610474634,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p1
r03_0p1_0p9,3,0,0.2,2.5,-23.44517184942719,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p2
r03_0p1_0p9,3,0,0.3,2.5,18.146481178396037,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p3
r03_0p1_0p9,3,0,0.4,2.5,55.18957992362252,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p4
r03_0p1_0p9,3,0,0.5,2.5,83.36743044189848,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p5
r03_0p1_0p9,3,0,0.6,2.5,116.1142935079104,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p6
r03_0p1_0p9,3,0,0.7,2.5,153.92563387941004,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p7
r03_0p1_0p9,3,0,0.8,2.5,192.63502454991834,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p8
r03_0p1_0p9,3,0,0.9,2.5,225.3415811297668,0x0c03,True,gui_20260826_214832_r03c00_read_vcc0p9
r18_0p1_0p9,18,0,0.1,2.5,-40.140031269118346,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p1
r18_0p1_0p9,18,0,0.2,2.5,-21.514512949493596,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p2
r18_0p1_0p9,18,0,0.3,2.5,-5.32254775338181,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p3
r18_0p1_0p9,18,0,0.4,2.5,12.922303038542598,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p4
r18_0p1_0p9,18,0,0.5,2.5,34.18576104746315,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p5
r18_0p1_0p9,18,0,0.6,2.5,49.88104139759355,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p6
r18_0p1_0p9,18,0,0.7,2.5,72.44918768268643,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p7
r18_0p1_0p9,18,0,0.8,2.5,98.81342062193134,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p8
r18_0p1_0p9,18,0,0.9,2.5,116.15797702399576,0x4812,True,gui_20260826_220358_r18c00_read_sweep_vcc0p9
r18_initial_0p5_0p9,18,0,0.5,2.5,33.80463598667661,0x4812,True,gui_20260826_211520_r18c00_read_vcc0p5
r18_initial_0p5_0p9,18,0,0.6,2.5,56.171576650299926,0x4812,True,gui_20260826_211520_r18c00_read_vcc0p6
r18_initial_0p5_0p9,18,0,0.7,2.5,71.57909047651421,0x4812,True,gui_20260826_211520_r18c00_read_vcc0p7
r18_initial_0p5_0p9,18,0,0.8,2.5,99.8977086743045,0x4812,True,gui_20260826_152223_r18c00_read_vcc0p8
r18_initial_0p5_0p9,18,0,0.9,2.5,117.59907552171855,0x4812,True,gui_20260826_155431_r18c00_read_vcc0p9_retry
r18_repeat_0p5_0p9,18,0,0.5,2.5,30.711712324111183,0x4812,True,gui_20260826_212007_r18c00_read_vcc0p5_repeat
r18_repeat_0p5_0p9,18,0,0.6,2.5,48.75943171776214,0x4812,True,gui_20260826_212007_r18c00_read_vcc0p6_repeat
r18_repeat_0p5_0p9,18,0,0.7,2.5,73.02918712493182,0x4812,True,gui_20260826_212007_r18c00_read_vcc0p7_repeat
r18_repeat_0p5_0p9,18,0,0.8,2.5,96.12534837876427,0x4812,True,gui_20260826_212231_r18c00_read_vcc0p8_repeat
r18_repeat_0p5_0p9,18,0,0.9,2.5,118.57793487866232,0x4812,True,gui_20260826_212231_r18c00_read_vcc0p9_repeat
r26_0p5_0p9,26,0,0.5,2.5,29.8959961933247,0x681a,True,gui_20260826_212840_r26c00_read_vcc0p5
r26_0p5_0p9,26,0,0.6,2.5,49.71110053701301,0x681a,True,gui_20260826_212840_r26c00_read_vcc0p6
r26_0p5_0p9,26,0,0.7,2.5,71.60628101420708,0x681a,True,gui_20260826_212840_r26c00_read_vcc0p7
r26_0p5_0p9,26,0,0.8,2.5,90.5240976140304,0x681a,True,gui_20260826_212840_r26c00_read_vcc0p8
r26_0p5_0p9,26,0,0.9,2.5,104.90109441914223,0x681a,True,gui_20260826_212840_r26c00_read_vcc0p9
